article_id,ticker,published_at,source_name,author,title,description,content,url,date,publishedAt,sentiment_score,sentiment_label,Date,Open,High,Low,Close,Volume,Return_1D,MA_5,MA_21,MA_126,MA_252,Volatility_21
20,AAPL,2026-03-31 20:30:07+00:00,Bringatrailer.com,bringatrailer,2020 Volkswagen Golf GTI S 6-Speed,This 2020 Volkswagen Golf GTI S is finished in Pure White over Clark Plaid cloth and is powered by a turbocharged 2.0-liter inline-four that drives the front wheels through a six-speed manual transaxle and a VAQ+ limited-slip differential. Equipment includes …,This 2020 Volkswagen Golf GTI S is finished in Pure White over Clark Plaid cloth and is powered by a turbocharged 2.0-liter inline-four that drives the front wheels through a six-speed manual transax… [+2085 chars],https://bringatrailer.com/listing/2020-volkswagen-golf-gti-4/,2026-03-31,2026-03-31 20:30:07+00:00,0.0,neutral,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
21,AAPL,2026-03-31 20:30:19+00:00,PhoneArena,Johanna Romero,Google injects three vital features into Fitbit's AI health coach,"Plus, the coach is now open to users who don't pay for Premium.","All of these were missing when the coach first launched in Public Preview back in October 2025. Google was upfront about the gaps back then, so it's nice to see them actually following through.Google… [+1309 chars]",https://www.phonearena.com/news/google-injects-three-vital-features-into-fitbits-ai-health-coach_id179332,2026-03-31,2026-03-31 20:30:19+00:00,0.3353,positive,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
22,AAPL,2026-03-31 20:33:10+00:00,Vulture,Brian Tallerico,6 New Movies You Can Finally Watch at Home Right Now,"March’s best flicks to land on PVOD included one of the funniest movies you’ll see all year, a smash-hit Canadian comedy, and an Oscar winner. ‘Avatar: Fire and Ash’ is out today.","It was a little quiet out there on the video-on-demand front in March, as the few remaining films from 2025 still unavailable at home filtered onto services like Prime Video, Apple TV, and Fandango a… [+3614 chars]",http://www.vulture.com/article/best-new-movies-to-rent-on-demand-march-2026-releases.html,2026-03-31,2026-03-31 20:33:10+00:00,0.3612,positive,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
23,AAPL,2026-03-31 20:34:58+00:00,Schneier.com,Bruce Schneier,Possible US Government iPhone Hacking Tool Leaked,"Wired writes (alternate source):
Security researchers at Google on Tuesday released a report describing what they’re calling “Coruna,” a highly sophisticated iPhone hacking toolkit that includes five complete hacking techniques capable of bypassing all the de…","Wired writes (alternate source):
Security researchers at Google on Tuesday released a report describing what they’re calling “Coruna,” a highly sophisticated iPhone hacking toolkit that includes fiv… [+1799 chars]",https://www.schneier.com/blog/archives/2026/04/possible-us-government-iphone-hacking-tool-leaked.html,2026-03-31,2026-03-31 20:34:58+00:00,0.7425,positive,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
24,AAPL,2026-03-31 20:38:25+00:00,9to5Mac,Ryan Christoffel,iOS 26.4 has convenient change for iPhone personal hotspot users,"iOS 26.4 launched last week, packing a wide array of new features, including a change for personal hotspot that makes it easy to see who’s using your data.



 more…","iOS 26.4 launched last week, packing a wide array of new features, including a change for personal hotspot that makes it easy to see whos using your data.
Until I went all-in on cellular iPads in th… [+1482 chars]",https://9to5mac.com/2026/03/31/ios-26-4-makes-it-easy-to-see-whos-using-your-personal-hotspot/,2026-03-31,2026-03-31 20:38:25+00:00,0.5267,positive,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
25,AAPL,2026-03-31 20:45:04+00:00,TweakTown,Hassam Nasir,Apple's coding language Swift can now be used to develop Android apps,"The latest Swift update, version 6.3, allows developers to integrate Swift code into projects built with Kotlin and Java, or just make new native apps.Continue reading at TweakTown","There has existed a clear divide between Android and Apple over the past decade or so. Green bubbles vs. Blue bubbles, Safari vs. Chrome, and so many more differences have kept the two platforms sepa… [+1700 chars]",https://www.tweaktown.com/news/110771/apples-coding-language-swift-can-now-be-used-to-develop-android-apps/index.html,2026-03-31,2026-03-31 20:45:04+00:00,0.3818,positive,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
26,AAPL,2026-03-31 20:47:19+00:00,Pypi.org,,superdoc-sdk-cli-darwin-arm64 1.3.0.dev51,SuperDoc CLI binary for macOS ARM64 (Apple Silicon),"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/superdoc-sdk-cli-darwin-arm64/1.3.0.dev51/,2026-03-31,2026-03-31 20:47:19+00:00,0.3182,positive,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
27,AAPL,2026-03-31 20:50:37+00:00,CNBC,"Deirdre Bosa, Jasmine Wu",Column: Apple's crackdown on AI apps puts it on the wrong side of history,"Apple is going against its founding mission from 50 years ago by standing in the way AI coding, or vibe-coding.","Steve Jobs founded Apple 50 years ago this week on a simple idea: democratize computing by putting personal computers in the hands of anyone. Now, Apple is going against that founding mission by stan… [+7978 chars]",https://www.cnbc.com/2026/03/31/column-apples-crackdown-on-ai-apps-puts-it-wrong-side-of-history.html,2026-03-31,2026-03-31 20:50:37+00:00,0.0,neutral,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
28,AAPL,2026-03-31 20:51:34+00:00,USA Today,"Howard Balzer, Cardinals Wire",Arizona Cardinals' strength and conditioning staff still unannounced,"The Arizona Cardinals begin offseason program April 7, but who will be in charge?","The Arizona Cardinals open Phase 1 of their offseason program on April 7 with strength and conditioning, but outside the building, it is unknown who will be guiding the players when they report.
The… [+4042 chars]",https://cardswire.usatoday.com/story/sports/nfl/cardinals/2026/03/31/arizona-cardinals-strength-and-conditioning-staff-still-unannounced/89409791007/,2026-03-31,2026-03-31 20:51:34+00:00,0.2732,positive,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
29,AAPL,2026-03-31 20:53:21+00:00,Macdailynews.com,MacDailyNews,Apple tests Siri feature that could finally let it handle multiple commands at once,"Apple is quietly working on a significant upgrade to Siri that could make the long-serving digital assistant feel considerably more capable…
The post Apple tests Siri feature that could finally let it handle multiple commands at once appeared first on MacDail…","Apple’s Siri icon
Apple is quietly working on a significant upgrade to Siri that could make the long-serving digital assistant feel considerably more capable and natural to use. According to a new r… [+2123 chars]",https://macdailynews.com/2026/03/31/apple-tests-siri-feature-that-could-finally-let-it-handle-multiple-commands-at-once/,2026-03-31,2026-03-31 20:53:21+00:00,0.774,positive,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
