ticker,date,Return_1D,Open,High,Low,Close,Volume,MA_5,MA_21,MA_126,MA_252,Volatility_21,sentiment_mean,sentiment_median,sentiment_std,sentiment_min,sentiment_max,article_count,unique_sources,truncated_articles,positive_count,neutral_count,negative_count,positive_ratio,neutral_ratio,negative_ratio,truncated_ratio,target_direction
BRK-B,2026-03-25,-0.0065507775829208,482.6300048828125,483.2300109863281,475.7300109863281,476.1900024414063,4402000,479.58400268554686,489.7147652762277,495.1058732290117,496.1561504545666,0.0141663155218749,0.3612,0.3612,0.0,0.3612,0.3612,1,1,1,1,0,0,1.0,0.0,0.0,1.0,0
BRK-B,2026-03-26,-0.0019320301203669,476.4400024414063,478.3800048828125,474.5,475.2699890136719,3774600,478.3419982910156,488.8233366466704,494.9326985677083,495.9434520176479,0.0141656064767944,0.0,0.0,0.0,0.0,0.0,2,2,2,0,2,0,0.0,1.0,0.0,1.0,0
BRK-B,2026-03-27,-0.0142655731184866,474.1900024414063,474.7999877929688,467.2099914550781,468.489990234375,5382300,475.85199584960935,487.1957164946057,494.7226191929408,495.6866264948769,0.0136911069591299,0.28665,0.28665,0.4783577374726994,-0.0516,0.6249,2,2,2,1,0,1,0.5,0.0,0.5,1.0,0
BRK-B,2026-03-30,0.0131700005471784,470.6799926757813,477.6900024414063,470.6499938964844,474.6600036621094,4590900,474.7879943847656,485.75333513532365,494.5212700253441,495.4490867493645,0.0140614663989158,0.4672,0.49135,0.1653897417213857,0.25,0.6361,4,4,4,4,0,0,1.0,0.0,0.0,1.0,1
BRK-B,2026-03-31,0.0095647590062248,477.7799987792969,479.80999755859375,474.7699890136719,479.2000122070313,4725300,474.7619995117187,485.7071446010045,494.3621431380984,495.2621423630487,0.0095071565525476,0.21791176470588236,0.0772,0.46921150199344136,-0.9432,0.7783,17,10,17,9,6,2,0.5294117647058824,0.35294117647058826,0.11764705882352941,1.0,1
BRK-B,2026-04-01,-0.001460793383137,478.9800109863281,481.1000061035156,477.25,478.5,3600800,475.2239990234375,485.57095482235866,494.1697622632224,495.0475391206287,0.009493557145408,0.353775,0.3723,0.3076566416748819,0.0,0.6705,4,4,4,3,1,0,0.75,0.25,0.0,1.0,0
BRK-B,2026-04-02,-0.0024033310271355,477.8200073242188,479.7699890136719,475.6799926757813,477.3500061035156,2972800,475.64000244140624,485.0885736374628,494.0042860243056,494.8267455328079,0.0090236103267008,0.363175,0.4404,0.24992639416436194,0.0,0.5719,4,4,4,3,1,0,0.75,0.25,0.0,1.0,0
BRK-B,2026-04-06,-0.0020320544847605,475.6600036621094,479.5,475.3500061035156,476.3800048828125,3663500,477.21800537109374,483.9447646368118,493.84920659140937,494.5833329700288,0.0064675380760552,-0.15185555555555552,-0.0516,0.31546764537393973,-0.5423,0.3818,9,8,9,1,3,5,0.1111111111111111,0.3333333333333333,0.5555555555555556,1.0,0
BRK-B,2026-04-07,0.0035685412318497,475.7099914550781,479.75,474.3200073242188,478.0799865722656,3206500,477.902001953125,482.9495253789993,493.6851588657924,494.3766663566468,0.006591778145779,0.2557,0.2732,0.24741461153294889,0.0,0.4939,3,3,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,1.0,1
BRK-B,2026-04-08,0.0034931674084666,483.75,483.75,477.6799926757813,479.75,4655100,478.0119995117187,482.11857241675966,493.5242859371125,494.3219441005162,0.0066879869527848,0.2112,0.0,0.6390395371180096,-0.91,0.8807,7,6,7,3,3,1,0.42857142857142855,0.42857142857142855,0.14285714285714285,1.0,1
