ticker,date,sentiment_score_mean,sentiment_score_median,sentiment_score_std,article_count,positive_count,neutral_count,negative_count
BRK-B,2026-04-10,0.16575,0.1366,0.3919619843082453,8,4,3,1
BRK-B,2026-04-11,0.08286666666666666,0.0,0.543840986563781,6,2,3,1
BRK-B,2026-04-12,0.40449999999999997,0.40449999999999997,0.15344217151748085,2,2,0,0
BRK-B,2026-04-13,0.42722,0.5423,0.2983215831950481,5,4,1,0
BRK-B,2026-04-14,0.3089777777777778,0.4588,0.47560471448929564,9,6,1,2
BRK-B,2026-04-15,0.009660000000000002,0.0,0.28128007039248265,5,1,3,1
BRK-B,2026-04-16,0.22343333333333334,0.128,0.2834659826739945,3,2,1,0
BRK-B,2026-04-17,0.334425,0.36819999999999997,0.364952399048737,8,6,1,1
BRK-B,2026-04-18,0.5994,0.5994,0.0,1,1,0,0
GOOG,2026-03-25,-0.16588,-0.26115,0.38677528876597067,10,2,1,7
GOOG,2026-03-26,0.03660952380952382,0.1531,0.5462805532917696,21,11,2,8
GOOG,2026-03-27,0.053356521739130434,0.3818,0.5801421164649595,23,12,2,9
GOOG,2026-03-28,-0.059399999999999994,0.0,0.2264452325250707,7,1,4,2
GOOG,2026-03-29,-0.18035,-0.4393,0.43588454319922837,6,2,0,4
GOOG,2026-03-30,-0.016990000000000005,-0.0386,0.425479492781706,10,4,1,5
GOOG,2026-03-31,0.2176947368421053,0.2732,0.4042524231682809,19,14,1,4
GOOG,2026-04-07,0.35144000000000003,0.40080000000000005,0.23085883709892213,10,8,2,0
GOOG,2026-04-08,0.283875,0.44765,0.5980520133853624,8,6,0,2
GOOG,2026-04-09,0.35446666666666665,0.4286,0.3912859552653005,12,9,1,2
GOOG,2026-04-10,0.39677777777777773,0.5719,0.4470653609310885,9,7,1,1
GOOG,2026-04-11,0.19510000000000002,-0.0258,0.38261002339196504,3,1,2,0
GOOG,2026-04-12,0.54328,0.5423,0.34012839781470766,5,4,1,0
GOOG,2026-04-13,0.5227625,0.61725,0.2925825252935364,8,7,1,0
GOOG,2026-04-14,0.012066666666666675,-0.13085,0.5362079046132171,12,5,1,6
GOOG,2026-04-15,0.06208,0.0,0.41200884510462205,10,4,4,2
GOOG,2026-04-16,0.2876375,0.22025,0.33398730889062234,16,10,5,1
GOOG,2026-04-17,0.38242000000000004,0.4404,0.2526232610034159,5,4,1,0
GOOG,2026-04-18,0.8415,0.8415,0.0,1,1,0,0
GOOGL,2026-03-25,-0.16588,-0.26115,0.38677528876597067,10,2,1,7
GOOGL,2026-03-26,0.03660952380952382,0.1531,0.5462805532917696,21,11,2,8
GOOGL,2026-03-27,0.053356521739130434,0.3818,0.5801421164649595,23,12,2,9
GOOGL,2026-03-28,-0.059399999999999994,0.0,0.2264452325250707,7,1,4,2
GOOGL,2026-03-29,-0.18035,-0.4393,0.43588454319922837,6,2,0,4
GOOGL,2026-03-30,-0.016990000000000005,-0.0386,0.425479492781706,10,4,1,5
GOOGL,2026-03-31,0.2176947368421053,0.2732,0.4042524231682809,19,14,1,4
GOOGL,2026-04-07,0.35144000000000003,0.40080000000000005,0.23085883709892213,10,8,2,0
GOOGL,2026-04-08,0.283875,0.44765,0.5980520133853624,8,6,0,2
GOOGL,2026-04-09,0.35446666666666665,0.4286,0.3912859552653005,12,9,1,2
GOOGL,2026-04-10,0.39677777777777773,0.5719,0.4470653609310885,9,7,1,1
GOOGL,2026-04-11,0.19510000000000002,-0.0258,0.38261002339196504,3,1,2,0
GOOGL,2026-04-12,0.54328,0.5423,0.34012839781470766,5,4,1,0
GOOGL,2026-04-13,0.5227625,0.61725,0.2925825252935364,8,7,1,0
GOOGL,2026-04-14,0.012066666666666675,-0.13085,0.5362079046132171,12,5,1,6
GOOGL,2026-04-15,0.06208,0.0,0.41200884510462205,10,4,4,2
GOOGL,2026-04-16,0.2876375,0.22025,0.33398730889062234,16,10,5,1
GOOGL,2026-04-17,0.38242000000000004,0.4404,0.2526232610034159,5,4,1,0
GOOGL,2026-04-18,0.8415,0.8415,0.0,1,1,0,0
META,2026-03-30,0.13934000000000002,0.21315,0.5026276625008925,10,6,1,3
META,2026-03-31,0.01643058823529411,0.0,0.4970510755166606,85,39,16,30
META,2026-04-16,0.10740294117647059,0.20805,0.4948187458082086,34,18,3,13
META,2026-04-17,0.11708124999999998,0.08995,0.43354714468236794,48,26,9,13
META,2026-04-18,0.0747875,0.0129,0.4391924936744707,16,7,5,4
MSFT,2026-03-31,0.009009183673469385,0.0,0.4742604191501992,98,45,19,34
MSFT,2026-04-18,0.21663263157894738,0.3182,0.41740386087431963,95,64,14,17
MSFT,2026-04-19,0.27243333333333336,0.2732,0.3138507022986141,3,2,1,0
NVDA,2026-03-31,0.14996868686868686,0.25,0.4419271319209197,99,56,19,24
NVDA,2026-04-17,0.24003333333333335,0.2732,0.27943945126462894,27,18,7,2
NVDA,2026-04-18,0.23850845070422536,0.3182,0.3481934678744312,71,49,12,10
NVDA,2026-04-19,-0.7184,-0.7184,0.0,1,0,0,1
